package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
si.inova.androidarchitectureplayground.post.ui.HomePostsScreen.Master,Master,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.HomePostsScreen.Detail,Detail,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.details.PostDetailsScreen.Content,Content,1,1,1,0,0,0,0,0,1,2,
si.inova.androidarchitectureplayground.post.ui.details.PostDetailsContent,PostDetailsContent,1,1,1,0,0,0,0,0,1,4,
si.inova.androidarchitectureplayground.post.ui.details.ShowPost,ShowPost,1,1,1,0,0,0,0,0,1,2,
si.inova.androidarchitectureplayground.post.ui.details.SuccesPreview,SuccesPreview,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.details.ProgressPreview,ProgressPreview,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.details.ErrorPreview,ErrorPreview,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.list.PostListScreen.Content,Content,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.list.PostListScreen.Content,Content,1,1,1,0,0,0,0,0,1,3,
si.inova.androidarchitectureplayground.post.ui.list.PostListContent,PostListContent,1,1,1,0,0,0,0,0,1,6,
si.inova.androidarchitectureplayground.post.ui.list.PostList,PostList,1,1,1,0,0,0,0,0,1,3,
si.inova.androidarchitectureplayground.post.ui.list.PostListContentSuccess,PostListContentSuccess,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.list.PostListContentLoading,PostListContentLoading,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.list.PostListContentError,PostListContentError,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.post.ui.list.PostListContentLoadingMore,PostListContentLoadingMore,1,1,1,0,0,0,0,0,1,1,
