package,name,composable,skippable,restartable,readonly,inline,isLambda,hasDefaults,defaultsGroup,groups,calls,
si.inova.androidarchitectureplayground.user.ui.HomeUsersScreen.Master,Master,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.HomeUsersScreen.Detail,Detail,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.details.UserDetailsScreen.Content,Content,1,1,1,0,0,0,0,0,1,2,
si.inova.androidarchitectureplayground.user.ui.details.UserDetailsContent,UserDetailsContent,1,1,1,0,0,0,0,0,1,4,
si.inova.androidarchitectureplayground.user.ui.details.ShowUser,ShowUser,1,1,1,0,0,0,0,0,1,2,
si.inova.androidarchitectureplayground.user.ui.details.SuccesPreview,SuccesPreview,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.details.ProgressPreview,ProgressPreview,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.details.ErrorPreview,ErrorPreview,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.list.UserListScreen.Content,Content,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.list.UserListScreen.Content,Content,1,1,1,0,0,0,0,0,1,2,
si.inova.androidarchitectureplayground.user.ui.list.UserListContent,UserListContent,1,1,1,0,0,0,0,0,1,6,
si.inova.androidarchitectureplayground.user.ui.list.UserList,UserList,1,1,1,0,0,0,0,0,1,3,
si.inova.androidarchitectureplayground.user.ui.list.UserListContentSuccess,UserListContentSuccess,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.list.UserListContentLoading,UserListContentLoading,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.list.UserListContentError,UserListContentError,1,1,1,0,0,0,0,0,1,1,
si.inova.androidarchitectureplayground.user.ui.list.UserListContentLoadingMore,UserListContentLoadingMore,1,1,1,0,0,0,0,0,1,1,
